fblnPhone,fcurCreditAmount,fcurPercentOfIncome,flngAge,flngDependents,flngExistingLoans,flngMonthsloanDuration,flngYearsAtResidence,fstrCheckingBalance,fstrCreditHistory,fstrEmploymentDuration,fstrHousing,fstrJob,fstrPurpose,fstrSavingsBalance,fblnDefault
1,1169,4,67,1,2,6,4,< 0 DM,critical,> 7 years,own,skilled,furniture/appliances,unknown,0
0,5951,2,22,1,1,48,2,1 - 200 DM,good,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,1
0,2096,2,49,2,1,12,3,unknown,critical,4 - 7 years,own,unskilled,education,< 100 DM,0
0,7882,2,45,2,1,42,4,< 0 DM,good,4 - 7 years,other,skilled,furniture/appliances,< 100 DM,0
0,4870,3,53,2,2,24,4,< 0 DM,poor,1 - 4 years,other,skilled,car,< 100 DM,1
1,9055,2,35,2,1,36,4,unknown,good,1 - 4 years,other,unskilled,education,unknown,0
0,2835,3,53,1,1,24,4,unknown,good,> 7 years,own,skilled,furniture/appliances,500 - 1000 DM,0
1,6948,2,35,1,1,36,2,1 - 200 DM,good,1 - 4 years,rent,management,car,< 100 DM,0
0,3059,2,61,1,1,12,4,unknown,good,4 - 7 years,own,unskilled,furniture/appliances,> 1000 DM,0
0,5234,4,28,1,2,30,2,1 - 200 DM,critical,unemployed,own,management,car,< 100 DM,1
0,1295,3,25,1,1,12,1,1 - 200 DM,good,< 1 year,rent,skilled,car,< 100 DM,1
0,4308,3,24,1,1,48,4,< 0 DM,good,< 1 year,rent,skilled,business,< 100 DM,1
1,1567,1,22,1,1,12,1,1 - 200 DM,good,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
0,1199,4,60,1,2,24,4,< 0 DM,critical,> 7 years,own,unskilled,car,< 100 DM,1
0,1403,2,28,1,1,15,4,< 0 DM,good,1 - 4 years,rent,skilled,car,< 100 DM,0
0,1282,4,32,1,1,24,2,< 0 DM,good,1 - 4 years,own,unskilled,furniture/appliances,100 - 500 DM,1
0,2424,4,53,1,2,24,4,unknown,critical,> 7 years,own,skilled,furniture/appliances,unknown,0
0,8072,2,25,1,3,30,3,< 0 DM,perfect,< 1 year,own,skilled,business,unknown,0
1,12579,4,44,1,1,24,2,1 - 200 DM,good,> 7 years,other,management,car,< 100 DM,1
1,3430,3,31,2,1,24,2,unknown,good,> 7 years,own,skilled,furniture/appliances,500 - 1000 DM,0
1,2134,4,48,1,3,9,4,unknown,critical,1 - 4 years,own,skilled,car,< 100 DM,0
0,2647,2,44,2,1,6,3,< 0 DM,good,1 - 4 years,rent,skilled,furniture/appliances,500 - 1000 DM,0
0,2241,1,48,2,2,10,3,< 0 DM,critical,< 1 year,rent,unskilled,car,< 100 DM,0
0,1804,3,44,1,1,12,4,1 - 200 DM,critical,< 1 year,own,skilled,car,100 - 500 DM,0
0,2069,2,26,1,2,10,1,unknown,critical,1 - 4 years,own,skilled,furniture/appliances,unknown,0
1,1374,1,36,1,1,6,2,< 0 DM,good,1 - 4 years,own,unskilled,furniture/appliances,< 100 DM,0
0,426,4,39,1,1,6,4,unknown,perfect,> 7 years,own,unskilled,furniture/appliances,< 100 DM,0
0,409,3,42,1,2,12,3,> 200 DM,very good,1 - 4 years,rent,skilled,furniture/appliances,> 1000 DM,0
0,2415,3,34,1,1,7,2,1 - 200 DM,good,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
1,6836,3,63,1,2,60,4,< 0 DM,poor,> 7 years,own,skilled,business,< 100 DM,1
1,1913,3,36,1,1,18,3,1 - 200 DM,good,< 1 year,own,skilled,business,> 1000 DM,0
0,4020,2,27,1,1,24,2,< 0 DM,good,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
1,5866,2,30,1,2,18,2,1 - 200 DM,good,1 - 4 years,own,skilled,car,100 - 500 DM,0
0,1264,4,57,1,1,12,4,unknown,critical,> 7 years,rent,unskilled,business,unknown,0
1,1474,4,33,1,1,12,1,> 200 DM,good,< 1 year,own,management,furniture/appliances,< 100 DM,0
0,4746,4,25,1,2,45,2,1 - 200 DM,critical,< 1 year,own,unskilled,furniture/appliances,< 100 DM,1
1,6110,1,31,1,1,48,3,unknown,critical,1 - 4 years,other,skilled,education,< 100 DM,0
0,2100,4,37,1,1,18,2,> 200 DM,good,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,1
1,1225,2,37,1,1,10,2,> 200 DM,good,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
0,458,4,24,1,1,9,3,1 - 200 DM,good,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
0,2333,4,30,1,1,30,2,unknown,good,> 7 years,own,management,furniture/appliances,500 - 1000 DM,0
1,1158,3,26,1,1,12,1,1 - 200 DM,good,1 - 4 years,own,skilled,furniture/appliances,500 - 1000 DM,0
1,6204,2,44,2,1,18,4,1 - 200 DM,poor,1 - 4 years,own,unskilled,renovations,< 100 DM,0
0,6187,1,24,1,2,30,4,< 0 DM,critical,4 - 7 years,rent,skilled,car,100 - 500 DM,0
0,6143,4,58,1,2,48,4,< 0 DM,critical,> 7 years,other,unskilled,car,< 100 DM,1
0,1393,4,35,1,2,11,4,unknown,critical,< 1 year,own,management,car,< 100 DM,0
0,2299,4,39,1,1,36,4,unknown,good,> 7 years,own,skilled,furniture/appliances,500 - 1000 DM,0
1,1352,1,23,1,1,6,2,< 0 DM,good,unemployed,rent,unemployed,car,500 - 1000 DM,0
0,7228,1,39,1,2,11,4,unknown,critical,1 - 4 years,own,unskilled,car,< 100 DM,0
0,2073,4,28,1,1,12,2,unknown,good,1 - 4 years,own,skilled,furniture/appliances,100 - 500 DM,0
0,2333,4,29,1,1,24,2,1 - 200 DM,poor,< 1 year,own,unskilled,furniture/appliances,unknown,0
1,5965,1,30,1,2,27,2,1 - 200 DM,poor,> 7 years,own,management,car,< 100 DM,0
0,1262,3,25,1,1,12,2,unknown,good,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
1,3378,2,31,1,1,18,1,unknown,good,1 - 4 years,own,skilled,car,unknown,0
1,2225,4,57,1,2,36,4,1 - 200 DM,poor,> 7 years,other,skilled,car,< 100 DM,1
0,783,1,26,2,1,6,2,unknown,very good,1 - 4 years,own,unskilled,car,unknown,0
1,6468,2,52,1,1,12,1,1 - 200 DM,good,unemployed,own,management,furniture/appliances,unknown,1
0,9566,2,31,1,2,36,2,unknown,critical,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
0,1961,3,23,1,1,18,2,> 200 DM,good,> 7 years,own,management,car,< 100 DM,0
1,6229,4,23,1,2,36,4,< 0 DM,critical,< 1 year,rent,unskilled,furniture/appliances,< 100 DM,1
1,1391,2,27,1,1,9,1,1 - 200 DM,good,1 - 4 years,own,skilled,business,< 100 DM,0
1,1537,4,50,1,2,15,4,1 - 200 DM,critical,> 7 years,own,skilled,furniture/appliances,unknown,0
1,1953,4,61,1,1,36,4,1 - 200 DM,perfect,> 7 years,other,management,business,< 100 DM,1
1,14421,2,25,1,1,48,2,1 - 200 DM,perfect,1 - 4 years,own,skilled,business,< 100 DM,1
1,3181,4,26,1,1,24,4,unknown,good,< 1 year,own,skilled,furniture/appliances,< 100 DM,0
1,5190,4,48,2,4,27,4,unknown,good,> 7 years,own,skilled,renovations,unknown,0
0,2171,2,29,1,1,12,2,unknown,good,< 1 year,own,skilled,furniture/appliances,< 100 DM,0
0,1007,4,22,1,1,12,1,1 - 200 DM,good,1 - 4 years,own,skilled,car,> 1000 DM,0
1,1819,4,37,1,1,36,4,unknown,good,1 - 4 years,other,skilled,education,< 100 DM,1
0,2394,4,25,1,1,36,4,unknown,good,1 - 4 years,own,skilled,furniture/appliances,unknown,0
0,8133,1,30,1,1,36,2,unknown,good,1 - 4 years,own,skilled,car,< 100 DM,0
1,730,4,46,1,2,7,2,unknown,critical,> 7 years,rent,unskilled,furniture/appliances,unknown,0
1,1164,3,51,2,2,8,4,< 0 DM,critical,> 7 years,other,management,car0,< 100 DM,0
0,5954,2,41,1,2,42,1,1 - 200 DM,critical,4 - 7 years,own,unskilled,business,< 100 DM,0
1,1977,4,40,1,1,36,4,< 0 DM,good,> 7 years,own,management,education,unknown,1
0,1526,4,66,1,2,12,4,< 0 DM,critical,> 7 years,other,management,car,< 100 DM,0
0,3965,4,34,1,1,42,3,< 0 DM,good,< 1 year,own,skilled,furniture/appliances,< 100 DM,1
0,4771,2,51,1,1,11,4,1 - 200 DM,poor,4 - 7 years,own,skilled,furniture/appliances,< 100 DM,0
0,9436,2,39,2,1,54,2,unknown,perfect,1 - 4 years,own,unskilled,car,unknown,0
0,3832,2,22,1,1,30,1,1 - 200 DM,good,< 1 year,own,skilled,furniture/appliances,< 100 DM,0
1,5943,1,44,1,2,24,1,unknown,good,< 1 year,own,skilled,furniture/appliances,unknown,1
1,1213,4,47,1,1,15,3,unknown,good,> 7 years,own,skilled,furniture/appliances,500 - 1000 DM,0
0,1568,3,24,1,1,18,4,unknown,good,1 - 4 years,rent,unskilled,business,100 - 500 DM,0
1,1755,4,58,1,1,24,4,< 0 DM,good,> 7 years,own,unskilled,car0,< 100 DM,0
0,2315,3,52,1,1,10,4,< 0 DM,good,> 7 years,own,unskilled,furniture/appliances,< 100 DM,0
1,1412,4,29,1,2,12,2,unknown,critical,1 - 4 years,own,management,business,< 100 DM,0
0,1295,4,27,1,2,18,1,1 - 200 DM,critical,< 1 year,own,skilled,furniture/appliances,< 100 DM,0
1,12612,1,47,2,1,36,4,1 - 200 DM,good,1 - 4 years,other,skilled,education,100 - 500 DM,1
1,2249,4,30,2,1,18,3,< 0 DM,good,4 - 7 years,own,management,car,100 - 500 DM,0
0,1108,4,28,1,2,12,3,< 0 DM,perfect,4 - 7 years,own,skilled,renovations,< 100 DM,1
0,618,4,56,1,1,12,4,unknown,critical,> 7 years,own,skilled,furniture/appliances,< 100 DM,0
0,1409,4,54,1,1,12,3,< 0 DM,critical,> 7 years,own,skilled,car,< 100 DM,0
0,797,4,33,2,1,12,3,unknown,critical,> 7 years,own,unskilled,furniture/appliances,unknown,1
0,3617,4,20,1,2,24,4,> 200 DM,critical,> 7 years,rent,skilled,furniture/appliances,unknown,0
1,1318,4,54,1,1,12,4,1 - 200 DM,good,> 7 years,own,skilled,car,> 1000 DM,0
1,15945,3,58,1,1,54,4,1 - 200 DM,perfect,< 1 year,rent,skilled,business,< 100 DM,1
0,2012,4,61,1,1,12,2,unknown,critical,4 - 7 years,own,skilled,education,unknown,0
0,2622,4,34,1,1,18,4,1 - 200 DM,good,1 - 4 years,own,skilled,business,100 - 500 DM,0
0,2337,4,36,1,1,36,4,1 - 200 DM,critical,> 7 years,own,skilled,furniture/appliances,< 100 DM,0
1,7057,3,36,2,2,20,4,1 - 200 DM,poor,4 - 7 years,rent,management,car,unknown,0
0,1469,4,41,1,1,24,4,unknown,good,> 7 years,rent,unskilled,car,100 - 500 DM,0
0,2323,4,24,1,1,36,4,1 - 200 DM,good,4 - 7 years,rent,skilled,furniture/appliances,< 100 DM,0
0,932,3,24,1,1,6,2,unknown,poor,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
1,1919,4,35,1,1,9,3,1 - 200 DM,critical,4 - 7 years,rent,skilled,furniture/appliances,< 100 DM,0
1,2445,2,26,1,1,12,4,unknown,good,< 1 year,rent,skilled,car,unknown,0
1,11938,2,39,2,2,24,3,1 - 200 DM,critical,1 - 4 years,own,management,car0,< 100 DM,1
1,6458,2,39,2,2,18,4,unknown,very good,> 7 years,own,management,car,< 100 DM,1
0,6078,2,32,1,1,12,2,1 - 200 DM,good,4 - 7 years,own,skilled,car,< 100 DM,0
1,7721,1,30,1,1,24,2,< 0 DM,good,< 1 year,own,skilled,furniture/appliances,unknown,0
1,1410,1,35,1,1,14,2,1 - 200 DM,good,> 7 years,own,skilled,business,500 - 1000 DM,0
0,1449,1,31,2,2,6,2,1 - 200 DM,poor,> 7 years,own,skilled,business,100 - 500 DM,0
1,392,4,23,1,1,15,4,> 200 DM,good,< 1 year,rent,skilled,education,< 100 DM,0
0,6260,3,28,1,1,18,3,1 - 200 DM,good,4 - 7 years,rent,unskilled,car,< 100 DM,0
1,7855,4,25,1,2,36,2,unknown,critical,1 - 4 years,own,skilled,car,< 100 DM,1
0,1680,3,35,1,1,12,1,< 0 DM,good,> 7 years,own,skilled,furniture/appliances,500 - 1000 DM,0
1,3578,4,47,1,1,48,1,unknown,critical,> 7 years,own,skilled,furniture/appliances,unknown,0
1,7174,4,30,1,1,42,3,< 0 DM,good,4 - 7 years,own,management,furniture/appliances,unknown,1
0,2132,2,27,1,2,10,3,< 0 DM,critical,< 1 year,rent,skilled,furniture/appliances,unknown,0
0,4281,1,23,1,2,33,4,< 0 DM,critical,1 - 4 years,own,skilled,furniture/appliances,500 - 1000 DM,1
1,2366,3,36,1,1,12,3,1 - 200 DM,critical,4 - 7 years,own,management,car,500 - 1000 DM,0
1,1835,3,25,1,2,21,2,< 0 DM,good,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,1
1,3868,4,41,1,2,24,2,unknown,critical,> 7 years,rent,management,car,< 100 DM,0
0,1768,3,24,1,1,12,2,unknown,good,1 - 4 years,rent,unskilled,furniture/appliances,< 100 DM,0
1,781,4,63,1,2,10,4,> 200 DM,critical,> 7 years,other,skilled,car,< 100 DM,0
0,1924,4,27,1,1,18,3,1 - 200 DM,good,< 1 year,rent,skilled,furniture/appliances,unknown,1
0,2121,4,30,1,2,12,2,< 0 DM,critical,1 - 4 years,own,skilled,car,< 100 DM,0
0,701,4,40,1,1,12,2,< 0 DM,good,1 - 4 years,own,unskilled,furniture/appliances,< 100 DM,0
0,639,4,30,1,1,12,2,1 - 200 DM,good,1 - 4 years,own,skilled,renovations,< 100 DM,1
1,1860,4,34,1,2,12,2,1 - 200 DM,critical,unemployed,own,management,car,< 100 DM,0
0,3499,3,29,1,2,12,2,< 0 DM,critical,1 - 4 years,own,skilled,car,< 100 DM,1
0,8487,1,24,1,1,48,2,1 - 200 DM,good,4 - 7 years,own,skilled,car,unknown,0
1,6887,4,29,1,1,36,3,< 0 DM,poor,1 - 4 years,own,skilled,education,< 100 DM,1
0,2708,2,27,1,2,15,3,unknown,good,< 1 year,own,unskilled,furniture/appliances,< 100 DM,0
0,1984,4,47,1,2,18,4,unknown,good,1 - 4 years,other,skilled,furniture/appliances,< 100 DM,0
1,10144,2,21,1,1,60,4,unknown,good,4 - 7 years,own,skilled,furniture/appliances,100 - 500 DM,0
1,1240,4,38,1,2,12,2,unknown,critical,> 7 years,own,skilled,furniture/appliances,unknown,0
0,8613,2,27,1,2,27,2,unknown,poor,1 - 4 years,own,skilled,car,> 1000 DM,0
0,766,4,66,1,1,12,3,1 - 200 DM,good,1 - 4 years,own,unskilled,furniture/appliances,500 - 1000 DM,1
1,2728,4,35,1,3,15,2,1 - 200 DM,critical,4 - 7 years,own,skilled,furniture/appliances,unknown,0
1,1881,2,44,1,1,12,2,> 200 DM,good,1 - 4 years,rent,unskilled,furniture/appliances,< 100 DM,0
0,709,2,27,1,1,6,2,> 200 DM,good,< 1 year,own,unemployed,car,> 1000 DM,0
1,4795,4,30,1,1,36,1,1 - 200 DM,good,< 1 year,own,management,furniture/appliances,< 100 DM,0
0,3416,3,27,1,1,27,2,< 0 DM,good,1 - 4 years,own,management,furniture/appliances,< 100 DM,0
0,2462,2,22,1,1,18,2,< 0 DM,good,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,1
1,2288,4,23,1,1,21,4,unknown,critical,< 1 year,own,skilled,furniture/appliances,< 100 DM,0
0,3566,4,30,1,1,48,2,1 - 200 DM,very good,4 - 7 years,own,skilled,business,100 - 500 DM,0
1,860,1,39,1,2,6,4,< 0 DM,critical,> 7 years,own,skilled,car,< 100 DM,0
1,682,4,51,1,2,12,3,unknown,critical,4 - 7 years,own,skilled,car,100 - 500 DM,0
0,5371,3,28,1,2,36,2,< 0 DM,critical,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
0,1582,4,46,1,2,18,4,unknown,critical,> 7 years,own,skilled,furniture/appliances,> 1000 DM,0
1,1346,2,42,2,1,6,4,unknown,good,> 7 years,other,skilled,furniture/appliances,100 - 500 DM,0
1,1924,1,38,1,1,10,4,unknown,good,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
0,5848,4,24,1,1,36,1,> 200 DM,good,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
0,7758,2,29,1,1,24,4,1 - 200 DM,critical,> 7 years,rent,skilled,car,> 1000 DM,0
1,6967,4,36,1,1,24,4,1 - 200 DM,poor,4 - 7 years,rent,management,business,100 - 500 DM,0
0,1282,2,20,1,1,12,4,< 0 DM,good,1 - 4 years,rent,skilled,furniture/appliances,< 100 DM,1
0,1288,3,48,2,2,9,4,< 0 DM,critical,> 7 years,own,skilled,renovations,100 - 500 DM,0
0,339,4,45,1,1,12,1,< 0 DM,very good,> 7 years,own,unskilled,education,< 100 DM,0
1,3512,2,38,1,2,24,3,1 - 200 DM,good,4 - 7 years,own,skilled,car,100 - 500 DM,0
0,1898,1,34,2,2,6,2,unknown,critical,1 - 4 years,own,unskilled,furniture/appliances,unknown,0
1,2872,3,36,2,1,24,4,unknown,critical,> 7 years,own,skilled,furniture/appliances,100 - 500 DM,0
0,1055,4,30,1,2,18,1,unknown,critical,< 1 year,own,skilled,car,< 100 DM,0
1,1262,4,36,1,2,15,3,unknown,good,4 - 7 years,own,skilled,furniture/appliances,500 - 1000 DM,0
1,7308,2,70,1,1,10,4,1 - 200 DM,good,unemployed,other,management,car,< 100 DM,0
0,909,4,36,1,1,36,4,unknown,good,> 7 years,own,skilled,car,500 - 1000 DM,0
1,2978,1,32,1,1,6,2,unknown,good,1 - 4 years,own,skilled,furniture/appliances,500 - 1000 DM,0
0,1131,4,33,1,1,18,2,< 0 DM,good,unemployed,own,skilled,furniture/appliances,< 100 DM,1
0,1577,4,20,1,1,11,1,1 - 200 DM,good,< 1 year,own,skilled,furniture/appliances,> 1000 DM,0
1,3972,2,25,1,1,24,4,unknown,good,4 - 7 years,rent,skilled,furniture/appliances,< 100 DM,0
1,1935,4,31,1,2,24,4,1 - 200 DM,critical,> 7 years,own,skilled,business,< 100 DM,1
0,950,4,33,2,2,15,3,< 0 DM,perfect,> 7 years,rent,skilled,car,< 100 DM,1
1,763,4,26,1,1,12,1,unknown,good,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
1,2064,3,34,1,1,24,2,1 - 200 DM,poor,unemployed,own,management,furniture/appliances,< 100 DM,1
0,1414,4,33,1,1,8,2,1 - 200 DM,good,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
0,3414,2,26,1,2,21,1,< 0 DM,poor,< 1 year,own,skilled,education,< 100 DM,1
1,7485,4,53,1,1,30,1,unknown,very good,unemployed,own,management,car,unknown,1
0,2577,2,42,1,1,12,1,< 0 DM,good,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
0,338,4,52,1,2,6,4,< 0 DM,critical,> 7 years,own,skilled,furniture/appliances,500 - 1000 DM,0
1,1963,4,31,2,2,12,2,unknown,good,4 - 7 years,rent,management,furniture/appliances,< 100 DM,0
0,571,4,65,1,2,21,4,< 0 DM,critical,> 7 years,own,skilled,car,< 100 DM,0
0,9572,1,28,1,2,36,1,unknown,poor,< 1 year,own,skilled,business,< 100 DM,1
1,4455,2,30,1,2,36,2,1 - 200 DM,poor,1 - 4 years,own,management,business,< 100 DM,1
0,1647,4,40,2,2,21,2,< 0 DM,very good,1 - 4 years,own,unskilled,car,unknown,1
1,3777,4,50,1,1,24,4,unknown,critical,1 - 4 years,own,skilled,furniture/appliances,> 1000 DM,0
1,884,4,36,2,1,18,4,1 - 200 DM,critical,> 7 years,own,skilled,car,< 100 DM,1
0,1360,4,31,1,2,15,2,unknown,critical,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
1,5129,2,74,2,1,9,4,1 - 200 DM,very good,> 7 years,other,management,car,< 100 DM,1
1,1175,2,68,1,3,16,3,1 - 200 DM,critical,unemployed,other,unemployed,car,< 100 DM,0
0,674,4,20,1,1,12,1,< 0 DM,good,4 - 7 years,own,skilled,furniture/appliances,100 - 500 DM,1
1,3244,1,33,1,2,18,4,1 - 200 DM,perfect,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
1,4591,2,54,1,3,24,3,unknown,good,1 - 4 years,own,management,business,> 1000 DM,1
0,3844,4,34,2,1,48,4,1 - 200 DM,perfect,4 - 7 years,other,unskilled,business,100 - 500 DM,1
1,3915,4,36,2,1,27,2,1 - 200 DM,good,1 - 4 years,own,skilled,business,< 100 DM,1
0,2108,2,29,1,1,6,2,unknown,good,4 - 7 years,rent,skilled,furniture/appliances,< 100 DM,0
0,3031,4,21,1,1,45,4,1 - 200 DM,good,1 - 4 years,rent,skilled,furniture/appliances,100 - 500 DM,1
1,1501,2,34,1,2,9,3,1 - 200 DM,critical,> 7 years,own,management,education,< 100 DM,1
1,1382,1,28,1,2,6,1,unknown,critical,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
0,951,4,27,1,4,12,4,1 - 200 DM,good,< 1 year,rent,skilled,furniture/appliances,100 - 500 DM,1
1,2760,4,36,1,1,24,4,1 - 200 DM,good,> 7 years,other,skilled,car,unknown,0
1,4297,4,40,1,1,18,3,1 - 200 DM,poor,> 7 years,own,management,furniture/appliances,< 100 DM,1
1,936,4,52,1,2,9,2,unknown,critical,> 7 years,own,skilled,education,500 - 1000 DM,0
0,1168,4,27,1,1,12,3,< 0 DM,good,1 - 4 years,own,unskilled,car,< 100 DM,0
0,5117,3,26,1,2,27,4,unknown,poor,4 - 7 years,own,skilled,business,< 100 DM,0
0,902,4,21,1,1,12,4,< 0 DM,good,4 - 7 years,rent,skilled,education,< 100 DM,1
0,1495,4,38,2,2,12,1,unknown,critical,> 7 years,own,unskilled,car,< 100 DM,0
1,10623,3,38,2,3,30,4,< 0 DM,critical,> 7 years,other,management,car,< 100 DM,0
1,1935,4,43,1,3,12,4,unknown,critical,> 7 years,own,skilled,furniture/appliances,< 100 DM,0
0,1424,4,26,1,1,12,3,1 - 200 DM,critical,4 - 7 years,own,skilled,furniture/appliances,< 100 DM,0
0,6568,2,21,1,1,24,2,< 0 DM,good,1 - 4 years,own,unskilled,business,< 100 DM,0
0,1413,3,55,1,1,12,2,unknown,good,4 - 7 years,own,skilled,car,> 1000 DM,0
0,3074,1,33,2,2,9,2,unknown,critical,1 - 4 years,own,skilled,furniture/appliances,unknown,0
1,3835,2,45,1,1,36,4,unknown,good,> 7 years,own,unskilled,furniture/appliances,unknown,0
1,5293,2,50,1,2,27,4,< 0 DM,perfect,unemployed,own,skilled,business,< 100 DM,1
1,1908,4,66,1,1,30,4,> 200 DM,poor,> 7 years,own,management,business,< 100 DM,1
1,3342,4,51,1,1,36,2,unknown,critical,> 7 years,own,skilled,furniture/appliances,unknown,0
0,932,1,39,1,2,6,3,1 - 200 DM,critical,4 - 7 years,own,unskilled,education,unknown,0
1,3104,3,31,1,1,18,1,< 0 DM,perfect,4 - 7 years,own,skilled,business,< 100 DM,0
1,3913,2,23,1,1,36,2,> 200 DM,good,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
0,3021,2,24,1,1,24,2,< 0 DM,good,1 - 4 years,rent,unskilled,furniture/appliances,< 100 DM,0
1,1364,2,64,1,1,10,4,unknown,good,1 - 4 years,own,skilled,car,< 100 DM,0
0,625,4,26,1,1,12,1,1 - 200 DM,good,< 1 year,own,unskilled,furniture/appliances,< 100 DM,0
1,1200,4,23,1,1,12,4,< 0 DM,good,1 - 4 years,rent,skilled,education,unknown,0
0,707,4,30,1,2,12,2,unknown,good,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
1,2978,4,32,2,2,24,4,unknown,poor,1 - 4 years,own,skilled,business,unknown,0
1,4657,3,30,1,1,15,2,unknown,good,1 - 4 years,own,skilled,car,< 100 DM,0
0,2613,4,27,1,2,36,2,unknown,perfect,1 - 4 years,own,skilled,renovations,< 100 DM,0
1,10961,1,27,1,2,48,2,1 - 200 DM,good,4 - 7 years,own,skilled,furniture/appliances,> 1000 DM,1
1,7865,4,53,1,1,12,4,< 0 DM,good,> 7 years,other,management,furniture/appliances,< 100 DM,1
0,1478,4,22,1,1,9,2,unknown,good,4 - 7 years,own,skilled,furniture/appliances,< 100 DM,1
0,3149,4,22,1,1,24,1,< 0 DM,good,< 1 year,other,skilled,furniture/appliances,< 100 DM,0
0,4210,4,26,1,1,36,2,> 200 DM,good,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,1
0,2507,2,51,1,1,9,4,unknown,good,> 7 years,other,unskilled,car,500 - 1000 DM,0
0,2141,3,35,1,1,12,1,unknown,good,4 - 7 years,own,skilled,furniture/appliances,100 - 500 DM,0
0,866,4,25,1,1,18,2,1 - 200 DM,good,1 - 4 years,own,unskilled,furniture/appliances,< 100 DM,0
0,1544,2,42,2,3,4,1,unknown,critical,4 - 7 years,own,unskilled,furniture/appliances,< 100 DM,0
0,1823,4,30,2,1,24,2,< 0 DM,good,unemployed,own,management,furniture/appliances,< 100 DM,1
1,14555,1,23,1,1,6,2,1 - 200 DM,good,unemployed,own,unemployed,car,unknown,1
0,2767,4,61,1,2,21,2,1 - 200 DM,good,> 7 years,rent,unskilled,business,100 - 500 DM,1
0,1291,4,35,1,2,12,2,unknown,critical,1 - 4 years,own,skilled,furniture/appliances,< 100 DM,0
0,2522,1,39,2,1,30,3,< 0 DM,good,> 7 years,own,skilled,furniture/appliances,< 100 DM,0
0,915,4,29,1,1,24,2,< 0 DM,good,> 7 years,own,skilled,car,unknown,1
0,1595,3,51,2,1,6,2,unknown,good,4 - 7 years,own,skilled,furniture/appliances,< 100 DM,0
0,4605,3,24,2,2,48,4,< 0 DM,perfect,> 7 years,other,skilled,car,< 100 DM,1
0,1185,3,27,1,2,12,2,unknown,critical,1 - 4 years,own,skilled,business,< 100 DM,0
0,3447,4,35,2,1,12,3,unknown,very good,1 - 4 years,own,unskilled,education,500 - 1000 DM,0
